viReference,viCodeInsee,viCodePostal,viVille,viLambertX,viLambertY
5820,17163,17500,Fontaines-d'ozillac,435545,6481282
5821,17164,17100,Fontcouverte,421870,6525238
5822,17165,17400,Fontenet,432691,6541430
5823,17166,17290,Forges,398838,6563017
5824,17167,17270,Le Fouilloux,454999,6458251
5825,17168,17450,Fouras,382716,6550491
5826,17169,17770,La Frédière,422373,6536331
5827,17171,17250,Geay,407650,6537017
5828,17172,17260,Gémozac,413851,6503372
5829,17173,17360,La Genétouze,463018,6462384
5830,17174,17430,Genouillé,407672,6553693
5831,17175,17520,Germignac,440344,6502197
5832,17176,17160,Gibourne,444352,6542043
5833,17177,17160,Le Gicq,448224,6541882
5834,17178,17260,Givrezac,416866,6501010
5835,17179,17100,Les Gonds,418510,6519833
5836,17180,17490,Gourvillette,450320,6536239
5837,17181,17350,Grandjean,420823,6536402
5838,17182,17170,La Grève-sur-mignon,409664,6579168
5839,17183,17120,Grézac,399990,6507368
5840,17184,17620,La Gripperie-st-symphorien,394866,6529858
5841,17185,17600,Le Gua,392926,6522172
5842,17186,17540,Le Gué-d'alleré,401588,6571777
5843,17187,17500,Guitinières,424846,6487308
5844,17188,17160,Haimps,447949,6535225
5845,17189,17320,Hiers-brouage,384291,6535954
5846,17190,17137,L' Houmeau,378476,6572954
5847,17191,17460,La Jard,421266,6511925
5848,17192,17520,Jarnac-champagne,434889,6502430
5849,17193,17220,La Jarne,385836,6565898
5850,17194,17220,La Jarrie,389749,6566809
5851,17195,17330,La Jarrie-audouin,430906,6553736
5852,17196,17260,Jazennes,417798,6504302
5853,17197,17500,Jonzac,431973,6489217
5854,17198,17770,Juicq,423048,6534078
5855,17199,17130,Jussas,437420,6470086
5856,17200,17140,Lagord,381557,6572792
5857,17201,17170,La Laigne,411045,6575767
5858,17202,17380,Landes,421380,6548605
5859,17203,17290,Landrais,400990,6559576
5860,17204,17500,Léoville,439455,6481116
5861,17205,17870,Loire-les-marais,396634,6549784
5862,17206,17470,Loiré-sur-nie,445993,6544197
5863,17207,17111,Loix,357929,6578524
5864,17208,17230,Longèves,393393,6577744
5865,17209,17520,Lonzac,435033,6505758
5866,17210,17240,Lorignac,412451,6490097
5867,17211,17330,Loulay,429459,6556023
5868,17212,17160,Louzignac,449318,6530723
5869,17213,17330,Lozay,427142,6556126
5870,17214,17600,Luchat,406855,6520379
5871,17215,17500,Lussac,428166,6491607
5872,17216,17430,Lussant,404313,6548296
5873,17217,17490,Macqueville,449958,6527362
5874,17218,17230,Marans,392247,6585585
5875,17219,17320,Marennes,380243,6532828
5876,17220,17800,Marignac,428411,6497154
5877,17221,17700,Marsais,422089,6564136
5878,17222,17137,Marsilly,382617,6578297
5879,17223,17490,Massac,450275,6535129
5880,17224,17160,Matha,442524,6535450
5881,17225,17570,Les Mathes,377333,6521860
5882,17226,17400,Mazeray,423399,6541843
5883,17227,17800,Mazerolles,420763,6500831
5884,17228,17600,Médis,390926,6513377
5885,17230,17132,Meschers-sur-gironde,392037,6504426
5886,17231,17130,Messac,440097,6477754
5887,17232,17120,Meursac,402594,6512801
5888,17233,17500,Meux,438220,6488949
5889,17234,17330,Migré,425696,6558414
5890,17235,17770,Migron,435989,6527948
5891,17236,17150,Mirambeau,420639,6480827
5892,17237,17780,Moëze,387675,6541340
5893,17238,17500,Moings,438362,6492278
5894,17239,17160,Mons,439963,6530001
5895,17240,17130,Montendre,433503,6470254
